route_id,distance_km,fuel_cost,maintenance_cost,no_passengers,time_slot,travel_duration_min,total_cost
R004,31.95,2.22,18.07,14,Afternoon,82.71,106.93
R007,25.33,2.47,15.01,18,Morning,95.5,98.56
R001,11.55,3.64,5.86,15,Morning,36.01,56.55
R002,37.43,2.51,15.45,15,Afternoon,94.42,129.77
R006,35.24,2.62,17.24,9,Afternoon,90.87,128.57
R016,13.03,2.6,6.88,17,Morning,51.41,52.78
R018,32.19,2.02,15.83,17,Afternoon,79.68,98.61
R013,25.2,2.86,9.41,35,Evening,78.23,100.51
R007,20.26,2.52,11.08,16,Afternoon,51.35,73.99
R009,36.5,2.11,20.55,21,Afternoon,89.74,117.65
R005,39.41,2.1,23.34,7,Night,75.5,121.85
R017,37.13,2.46,20.49,12,Afternoon,103.88,133.66
R002,29.24,2.04,11.75,8,Night,50.83,82.42
R008,20.7,2.74,9.18,20,Morning,65.98,81.17
R005,37.7,1.83,19.51,9,Night,78.74,105.15
R012,31.03,2.69,13.68,14,Afternoon,77.98,114.11
R017,40.27,2.41,17.95,11,Night,79.28,132.15
R014,18.79,2.01,7.99,13,Night,36.62,54.37
R018,36.76,2.9,18.91,24,Morning,121.55,152.05
R009,31.44,2.63,13.64,28,Evening,102.19,119.67
R001,14.93,2.33,8.04,6,Night,29.4,49.33
R012,34.73,1.99,18.81,1,Night,67.62,101.48
R011,28.03,2.88,16.3,11,Afternoon,60.0,110.05
R011,33.45,2.4,15.5,17,Afternoon,82.1,113.85
R004,32.4,2.5,17.2,7,Night,73.95,113.56
R005,35.27,2.07,16.54,20,Morning,117.18,114.89
R018,33.95,3.21,17.22,19,Morning,104.03,148.86
R004,40.5,2.24,15.65,14,Afternoon,99.04,127.63
R010,33.4,3.06,17.35,16,Morning,107.45,142.63
R011,35.23,2.85,20.22,13,Evening,115.05,144.88
R019,12.27,3.62,5.68,12,Morning,40.45,59.37
R017,29.7,3.07,15.32,24,Morning,96.4,128.08
R005,40.56,3.26,22.27,22,Morning,126.89,182.02
R018,34.84,2.44,18.71,23,Evening,111.88,128.56
R018,32.07,2.78,16.15,16,Afternoon,81.52,123.15
R002,25.51,2.82,14.48,21,Evening,63.76,101.19
R020,39.63,2.65,19.17,13,Afternoon,99.07,145.46
R012,40.39,3.25,20.94,15,Morning,141.65,181.94
R011,32.72,2.97,17.98,16,Morning,110.09,138.74
R012,38.43,2.82,20.54,13,Morning,134.24,157.13
R007,25.87,2.43,12.66,4,Night,46.84,85.33
R010,32.78,2.08,17.83,11,Afternoon,89.19,104.95
R013,26.6,3.01,11.73,31,Morning,90.66,112.9
R011,31.64,2.03,14.18,6,Night,54.9,89.94
R006,39.5,2.33,20.11,15,Afternoon,94.57,132.49
R005,39.2,1.98,19.56,5,Night,75.74,112.9
R013,29.09,2.51,14.72,5,Night,64.09,100.99
R015,33.28,3.1,17.55,22,Evening,93.35,141.54
R015,36.91,2.09,19.89,16,Afternoon,100.66,118.66
R013,30.1,2.69,14.31,27,Evening,92.71,116.39
R005,36.92,2.73,21.78,7,Night,72.01,137.61
R012,31.07,2.23,16.25,12,Afternoon,76.57,102.12
R010,30.42,2.99,15.41,19,Morning,91.52,126.73
R015,37.05,3.01,20.85,19,Afternoon,90.75,152.32
R005,34.49,2.68,14.7,11,Afternoon,80.85,124.51
R004,38.9,2.6,21.48,16,Evening,132.68,150.82
R011,33.72,3.51,14.18,25,Morning,113.17,157.82
R005,33.63,2.7,20.08,12,Afternoon,82.76,128.46
R006,36.22,2.24,18.08,6,Night,78.26,115.61
R015,34.51,2.29,17.43,18,Afternoon,89.46,116.26
R002,27.19,2.75,12.07,24,Morning,78.53,104.94
R018,34.34,2.28,19.01,24,Evening,99.01,119.35
R009,26.72,3.1,10.9,24,Evening,81.44,112.45
R018,32.36,2.58,16.78,17,Evening,101.65,122.29
R006,36.07,2.92,17.88,17,Afternoon,92.44,143.53
R006,32.43,2.42,16.28,15,Afternoon,79.75,112.33
R002,28.58,2.39,14.97,19,Afternoon,69.98,99.29
R019,11.09,1.72,5.21,7,Night,27.4,30.49
R003,22.75,2.36,12.27,8,Night,40.64,74.97
R003,23.41,1.98,11.26,8,Night,44.44,67.25
R009,37.58,2.86,15.67,18,Evening,104.17,145.93
R003,20.39,2.72,10.86,19,Evening,62.33,80.7
R019,12.59,2.6,8.07,15,Afternoon,28.84,48.01
R009,29.9,2.39,16.44,10,Night,56.26,100.23
R012,36.56,2.52,22.0,19,Evening,114.83,139.14
R012,34.54,3.62,15.03,18,Morning,111.56,164.03
R008,27.67,3.63,11.8,20,Morning,95.0,133.23
R012,33.38,2.37,18.5,21,Morning,107.07,121.12
R019,5.0,1.84,7.09,9,Night,10.0,19.17
R007,17.65,2.89,7.81,17,Morning,56.61,71.76
R017,37.4,3.48,19.09,28,Morning,127.99,177.59
R008,25.74,2.34,10.5,6,Night,54.82,82.4
R013,27.43,2.55,12.3,21,Evening,84.36,101.15
R018,33.37,2.64,16.42,12,Morning,108.94,127.65
R007,25.68,2.85,15.19,21,Afternoon,55.53,101.51
R003,25.99,2.46,15.56,10,Night,52.46,90.89
R006,39.14,2.16,18.09,8,Night,77.62,118.95
R011,32.77,2.16,19.18,7,Night,77.88,106.12
R003,25.82,2.59,11.18,28,Evening,78.71,96.48
R016,20.54,2.8,10.33,5,Night,42.76,76.9
R006,35.88,2.36,18.03,21,Evening,107.33,126.31
R003,22.38,2.75,9.46,24,Evening,67.7,86.84
R017,36.95,3.14,15.94,16,Morning,120.87,157.83
R003,23.63,2.75,11.88,17,Afternoon,52.46,89.16
R011,29.28,2.8,15.29,18,Evening,85.68,116.33
R003,18.85,1.93,9.05,9,Night,43.47,54.95
R011,33.81,2.64,18.15,32,Evening,99.2,130.33
R019,11.96,2.62,6.49,13,Afternoon,35.13,46.12
R001,16.21,2.91,3.84,16,Afternoon,56.22,63.9
R014,25.58,2.64,13.62,34,Evening,85.7,101.67
R009,34.42,2.56,18.39,7,Night,57.07,118.48
R016,14.12,2.48,8.97,5,Night,30.29,50.58
R008,26.09,2.57,14.21,5,Night,53.98,92.55
R006,33.62,2.65,13.02,14,Evening,102.15,123.9
R010,31.46,2.27,15.41,9,Night,60.09,99.82
R009,35.18,2.58,20.31,10,Afternoon,81.41,128.47
R010,32.66,2.89,17.18,15,Afternoon,92.74,131.5
R015,32.98,2.55,16.94,14,Afternoon,84.58,119.36
R002,29.67,2.74,13.52,9,Afternoon,66.48,109.12
R018,36.65,2.31,16.39,11,Night,83.06,118.65
R006,36.55,2.37,19.75,7,Night,73.55,121.96
R004,43.72,2.61,17.01,29,Evening,130.99,160.43
R016,19.81,2.69,10.35,14,Afternoon,42.9,73.61
R009,36.18,3.23,20.39,24,Morning,121.3,163.78
R009,35.41,2.16,22.64,6,Night,66.86,113.05
R010,32.88,2.45,17.44,23,Afternoon,86.25,117.38
R003,23.98,2.66,13.82,29,Evening,66.24,93.72
R006,39.16,2.74,19.82,35,Morning,137.33,158.07
R010,27.43,2.3,13.19,20,Evening,74.55,93.27
R007,24.87,2.77,16.2,10,Night,52.88,96.61
R002,33.01,2.47,15.12,8,Afternoon,82.33,113.85
R012,35.02,2.42,18.29,17,Evening,113.53,127.51
R008,28.74,1.98,12.75,7,Night,52.45,80.73
R020,35.73,2.94,17.94,16,Morning,119.93,148.72
R014,23.96,3.07,12.55,15,Morning,88.08,105.15
R003,21.83,2.84,11.52,15,Afternoon,58.01,86.54
R012,34.86,2.25,12.25,24,Afternoon,86.9,110.61
R012,36.47,2.72,17.22,20,Evening,105.97,139.74
R011,36.15,2.89,16.62,16,Morning,124.3,147.39
R017,37.92,3.1,19.89,21,Evening,117.03,162.86
R011,30.91,2.61,16.4,13,Morning,105.11,119.39
R003,19.61,2.34,8.29,11,Night,32.96,61.9
R020,33.09,3.32,14.12,13,Morning,112.29,147.78
R011,33.64,2.93,13.74,21,Morning,122.23,138.92
R019,11.35,2.38,8.51,23,Evening,30.83,44.02
R008,26.24,2.41,13.3,18,Morning,83.22,95.11
R003,19.29,2.97,11.44,18,Morning,67.53,84.0
R002,26.19,2.98,13.83,18,Morning,83.94,110.52
R009,33.05,3.05,19.26,16,Morning,101.93,141.99
R020,37.22,2.43,20.23,21,Evening,119.68,136.76
R018,37.58,2.21,17.86,13,Afternoon,96.27,121.31
R004,39.12,2.5,17.21,21,Evening,118.2,140.83
R010,26.75,2.54,12.73,16,Afternoon,78.39,97.96
R005,39.14,2.79,17.16,11,Afternoon,96.94,146.77
R006,34.75,3.34,16.64,22,Morning,109.94,156.85
R017,39.21,3.13,22.87,20,Evening,104.78,168.43
R004,39.38,2.19,20.2,9,Night,77.47,122.87
R016,17.26,2.41,9.79,16,Afternoon,48.21,62.62
R019,10.05,3.28,7.25,17,Morning,45.24,50.95
R012,33.66,3.25,17.36,16,Morning,115.57,151.58
R018,37.71,1.94,19.19,10,Night,75.26,108.27
R010,32.34,2.66,16.26,15,Morning,107.56,125.35
R017,34.61,2.76,18.09,26,Evening,118.55,139.99
R010,32.26,2.62,15.96,9,Afternoon,81.59,117.67
R020,35.1,3.02,19.17,25,Evening,98.41,147.5
R009,36.97,2.24,18.05,24,Evening,112.56,125.88
R013,22.85,2.67,11.57,11,Night,48.6,83.31
R015,36.16,3.19,18.61,25,Evening,99.34,156.49
R013,30.18,2.39,14.94,3,Night,59.39,99.2
R018,35.38,2.3,14.25,20,Evening,113.79,120.55
R019,12.23,2.45,7.08,9,Night,19.51,41.84
R005,40.0,2.91,22.11,20,Morning,132.83,167.25
R011,31.81,3.5,18.9,21,Morning,103.39,153.11
R007,20.58,2.99,8.93,23,Morning,61.03,84.95
R001,17.16,2.42,10.16,19,Afternoon,44.61,62.45
R003,18.98,1.95,9.69,13,Night,31.31,54.22
R009,35.53,3.4,18.5,17,Afternoon,87.25,158.28
R016,15.36,2.74,6.95,21,Evening,35.07,58.11
R020,30.72,2.61,16.6,23,Evening,94.61,118.07
R001,17.16,2.63,7.02,11,Afternoon,41.45,61.49
R011,31.47,2.3,14.0,18,Afternoon,72.56,102.76
R011,37.49,2.82,19.51,19,Morning,127.0,152.5
R018,37.05,2.43,19.62,9,Afternoon,103.71,131.2
R007,22.03,2.36,11.6,17,Night,42.36,73.71
R012,34.8,2.15,20.06,21,Evening,104.66,118.02
R011,38.27,2.61,16.46,23,Morning,123.82,143.55
R020,38.89,3.13,20.03,12,Morning,126.45,168.17
R008,21.34,3.23,9.77,20,Evening,63.25,93.38
R011,32.37,3.13,16.72,8,Afternoon,88.5,136.65
R005,39.25,2.42,17.34,14,Night,78.74,129.42
R010,29.04,3.34,13.26,16,Morning,87.82,129.29
R012,29.88,2.51,15.39,14,Afternoon,72.31,106.23
R018,32.03,2.76,13.83,23,Afternoon,84.52,121.31
R001,15.55,2.32,5.75,16,Afternoon,42.38,51.85
R007,23.66,3.23,10.43,13,Morning,80.67,104.17
R012,32.62,2.98,15.64,21,Morning,109.21,136.67
R018,36.04,2.17,17.36,9,Night,75.0,111.41
R010,31.71,2.58,18.28,23,Evening,91.54,120.82
R016,17.87,3.48,9.71,21,Morning,65.16,86.98
R010,32.43,2.76,15.51,25,Evening,106.68,128.8
R020,41.11,2.29,20.14,10,Night,84.46,132.3
R018,39.89,2.25,21.97,8,Night,85.14,129.58
R014,26.66,2.76,14.16,25,Afternoon,68.97,103.94
R013,30.55,3.11,13.98,23,Morning,100.72,131.38
R011,31.86,2.55,16.26,16,Afternoon,79.12,115.03
R014,22.13,3.27,13.49,20,Afternoon,52.8,98.37
R019,14.06,1.97,10.28,10,Night,33.76,45.8
R007,21.71,1.91,10.63,4,Night,40.34,60.49
R008,20.39,2.41,9.22,19,Evening,59.06,71.99
R013,27.6,2.33,12.82,8,Night,54.08,88.67
R017,31.34,2.86,13.3,23,Morning,86.77,122.54
R019,13.45,2.35,7.51,12,Night,19.18,44.14
R007,23.3,1.54,11.74,10,Night,51.98,59.04
R003,14.28,2.18,7.57,12,Night,31.87,46.29
R020,43.48,2.92,24.44,12,Evening,140.41,180.87
R017,38.16,2.0,17.81,23,Afternoon,90.75,114.59
R015,38.23,3.08,21.86,23,Evening,118.32,165.54
R013,31.38,2.01,19.74,7,Night,61.64,95.99
R020,32.75,3.02,15.8,12,Afternoon,83.31,132.47
R001,18.75,2.68,7.74,18,Morning,57.38,71.23
R019,17.74,3.04,9.43,31,Evening,44.65,75.29
R006,34.7,3.56,16.86,19,Morning,109.74,164.36
R019,13.52,2.56,8.15,17,Afternoon,26.48,49.73
R002,25.33,2.79,14.42,13,Afternoon,70.69,100.45
R001,20.99,2.36,11.78,7,Afternoon,51.52,72.32
R016,12.71,2.33,6.25,10,Night,27.37,42.35
R015,37.91,2.38,15.54,30,Evening,104.4,129.68
R016,21.01,2.84,10.8,15,Morning,72.29,86.49
R020,39.96,2.54,20.81,16,Afternoon,96.68,143.19
R005,36.17,2.71,19.79,22,Afternoon,96.68,139.5
R008,21.78,3.3,12.22,14,Evening,65.87,98.61
R005,33.61,3.22,19.84,15,Afternoon,87.03,147.08
R013,28.18,3.27,13.17,27,Evening,75.38,123.22
R015,34.76,3.07,18.49,12,Afternoon,80.22,142.32
R010,31.24,3.05,15.9,15,Morning,102.76,133.32
R013,25.68,3.37,13.1,15,Morning,88.88,119.04
R015,38.25,2.71,17.39,8,Afternoon,92.33,140.29
R002,27.47,2.62,15.27,16,Afternoon,62.48,101.41
R014,21.6,2.29,11.33,23,Afternoon,49.45,72.93
R017,39.14,2.07,21.89,27,Evening,115.41,128.84
R017,35.6,2.65,15.66,25,Evening,96.09,131.9
R016,12.39,2.62,6.83,23,Evening,35.18,48.63
R015,33.37,2.38,12.17,20,Evening,96.13,112.89
R010,37.97,2.61,22.24,19,Afternoon,92.41,141.54
R005,40.6,2.54,16.37,21,Afternoon,95.92,140.86
R018,41.05,1.87,21.87,20,Evening,112.56,123.18
R003,21.72,2.63,9.13,17,Afternoon,60.69,79.99
R001,22.46,1.85,14.2,6,Night,43.96,65.23
R015,37.35,2.33,16.35,15,Morning,119.55,128.68
R010,34.83,2.83,19.58,7,Afternoon,84.24,135.8
R016,15.88,2.48,5.78,12,Afternoon,35.23,53.44
R010,26.27,2.9,13.28,13,Afternoon,63.62,103.38
R012,35.03,2.23,14.05,8,Night,71.43,107.26
R017,35.89,2.19,18.23,10,Night,69.76,111.83
R005,37.3,3.04,16.98,21,Evening,119.55,156.22
R018,34.94,3.44,19.63,18,Morning,109.8,163.44
R015,38.59,2.34,18.42,5,Night,78.59,125.0
R004,37.74,1.94,21.35,20,Morning,118.08,120.06
R002,23.39,2.13,13.12,28,Evening,58.89,77.52
R011,33.67,2.6,14.93,8,Night,64.63,116.03
R010,37.0,3.25,19.97,21,Evening,121.7,166.77
R010,31.52,2.36,18.24,5,Night,68.28,106.75
R016,17.1,2.13,6.55,15,Afternoon,41.57,52.78
R019,11.82,2.73,8.25,5,Night,25.68,46.2
R014,23.13,2.59,11.83,16,Afternoon,57.16,84.84
R013,30.91,2.75,17.14,5,Night,58.59,114.26
R012,33.75,1.39,18.24,5,Night,66.24,78.88
R019,12.07,2.41,7.25,8,Afternoon,44.02,45.96
R002,26.69,2.13,11.75,19,Morning,85.55,87.7
R015,41.03,2.66,18.21,14,Morning,140.74,156.88
R003,27.2,3.25,15.67,26,Morning,93.72,125.48
R006,32.45,2.9,20.4,28,Evening,91.27,135.52
R020,46.66,2.08,21.63,4,Night,93.67,137.66
R010,32.12,3.0,14.71,24,Evening,87.21,130.91
R001,19.04,3.17,7.91,24,Evening,65.3,83.8
R012,31.9,2.85,16.04,13,Afternoon,83.24,124.87
R004,37.61,2.91,16.85,23,Evening,104.12,149.56
R018,28.52,2.5,13.98,3,Night,62.4,98.19
R003,21.59,2.54,13.82,7,Night,49.11,79.11
R007,16.61,2.65,6.64,5,Night,31.77,57.55
R018,31.43,2.63,19.69,21,Morning,104.33,125.33
R016,15.33,2.37,6.15,32,Evening,47.04,55.12
R007,28.81,2.85,15.39,34,Morning,97.35,120.51
R006,35.7,2.12,23.12,7,Night,73.52,114.09
R001,17.48,2.4,6.21,30,Evening,61.6,63.42
R005,35.18,2.48,18.44,16,Afternoon,90.04,125.18
R002,27.83,2.45,13.31,4,Night,55.52,92.94
R017,38.5,3.2,20.83,21,Morning,121.81,170.59
R007,19.42,3.29,6.38,26,Morning,72.36,87.41
R020,36.82,2.75,18.66,23,Evening,106.04,143.53
R014,23.83,3.19,12.03,19,Morning,83.44,106.59
R016,9.81,1.92,6.19,17,Afternoon,28.24,32.32
R011,33.96,2.54,16.31,16,Afternoon,79.83,120.11
R019,11.09,1.55,4.82,7,Night,21.93,27.07
R013,28.86,3.37,11.62,28,Morning,111.0,134.02
R018,37.54,2.54,18.86,18,Evening,112.93,138.72
R019,10.21,3.11,4.0,24,Evening,40.22,46.14
R020,39.92,3.28,23.9,22,Morning,126.8,182.48
R016,13.1,2.69,5.39,9,Night,21.51,45.84
R018,37.61,2.08,15.56,10,Night,76.96,110.25
R018,28.48,2.99,15.52,15,Morning,93.36,120.8
R019,9.33,2.91,3.94,17,Afternoon,20.57,36.94
R017,37.68,1.99,20.88,6,Night,69.46,110.2
R008,20.64,2.08,13.52,17,Evening,71.99,72.63
R010,33.83,3.0,13.74,20,Afternoon,91.97,135.54
R004,36.68,3.36,22.15,17,Morning,124.1,171.9
R016,17.01,2.67,6.86,22,Evening,46.71,63.89
R010,34.38,2.46,15.57,11,Night,61.98,113.71
R013,22.88,2.61,7.48,14,Afternoon,57.44,79.99
R005,39.46,2.77,20.66,27,Evening,121.07,156.7
R003,23.21,2.45,11.22,19,Evening,69.96,83.96
R018,32.92,2.93,18.02,7,Night,66.18,128.29
R014,19.74,2.04,9.09,2,Night,38.79,57.26
R016,12.72,3.27,8.25,21,Morning,36.75,59.32
R004,36.81,2.77,18.55,22,Evening,109.52,144.75
R012,35.02,2.64,14.82,26,Evening,106.32,131.12
R017,34.7,1.96,18.25,16,Evening,105.43,108.92
R020,34.34,3.05,16.14,20,Evening,101.78,143.11
R008,26.99,2.51,11.45,20,Evening,79.15,97.0
R002,31.04,2.45,22.01,12,Afternoon,89.13,117.15
R014,17.34,3.63,11.47,22,Morning,53.87,87.36
R017,39.57,2.03,15.75,7,Night,79.73,112.59
R002,30.09,4.04,16.7,26,Morning,94.13,159.62
R001,18.1,2.62,6.58,22,Morning,49.15,66.13
R009,38.76,2.6,17.99,25,Evening,104.46,142.24
R015,35.36,2.95,17.66,12,Afternoon,89.89,141.2
R014,19.07,3.47,10.87,18,Morning,58.4,90.52
R006,32.81,2.04,16.88,9,Night,60.31,96.66
R017,34.24,2.35,16.35,17,Afternoon,87.04,115.99
R012,34.54,2.89,18.44,11,Afternoon,84.3,136.27
R008,28.71,2.52,13.08,12,Afternoon,67.32,100.11
R004,33.35,2.55,14.89,13,Afternoon,85.94,118.34
R006,38.37,2.89,19.51,9,Afternoon,89.95,149.3
R013,25.85,2.96,12.13,30,Morning,76.32,106.8
R001,17.87,2.3,7.59,8,Night,40.42,57.55
R001,21.11,2.49,8.61,21,Morning,66.02,76.43
R017,35.16,2.74,19.54,21,Morning,105.34,139.19
R015,34.54,2.66,20.09,11,Afternoon,85.62,130.19
R007,25.89,2.6,12.21,21,Morning,83.15,98.29
R006,34.39,2.9,15.07,16,Morning,111.48,138.87
R018,32.73,2.68,17.1,20,Evening,101.82,127.08
R017,37.0,2.94,21.84,10,Morning,131.69,157.85
R015,38.23,2.03,18.83,12,Night,79.61,113.38
R020,39.48,2.4,21.31,8,Night,81.44,133.32
R016,16.89,3.29,7.14,26,Evening,45.09,74.24
R003,14.91,2.44,9.91,8,Night,31.63,53.43
R010,27.85,2.57,11.91,29,Morning,88.48,104.22
R008,23.25,2.83,12.43,15,Afternoon,57.24,91.12
